ID,IG,IS,VD,VG,VS,absID,absIG,dIddVg,date,filename,gm2,hour,length,remarks,si,sqrtID,structure,ta,target,temperature,thickness,title,uniqueID,width
2.3876e-09,-5.268000000000001e-11,-2.3920999999999996e-09,3.0,0.5,,2.3876e-09,5.268000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.3623000000000004e-09,5.9e-13,-2.2966e-09,3.1,0.5,,2.3623000000000004e-09,5.9e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4023000000000003e-09,-2.6e-13,-2.3569e-09,3.2,0.5,,2.4023000000000003e-09,2.6e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.349e-09,-5.4070000000000013e-11,-2.3591e-09,3.3000000000000003,0.5,,2.349e-09,5.4070000000000013e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.3087e-09,7.7e-13,-2.2544e-09,3.4,0.5,,2.3087e-09,7.7e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.3636999999999996e-09,2.7e-13,-2.3246e-09,3.5,0.5,,2.3636999999999996e-09,2.7e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.3078000000000002e-09,-5.392000000000001e-11,-2.3128e-09,3.6,0.5,,2.3078000000000002e-09,5.392000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2816999999999997e-09,3.3e-13,-2.219e-09,3.7,0.5,,2.2816999999999997e-09,3.3e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.3231999999999996e-09,1.5200000000000002e-12,-2.284e-09,3.8,0.5,,2.3231999999999996e-09,1.5200000000000002e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2774e-09,-5.416e-11,-2.2833e-09,3.9,0.5,,2.2774e-09,5.416e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2344e-09,8.899999999999999e-13,-2.172e-09,4.0,0.5,,2.2344e-09,8.899999999999999e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2875000000000002e-09,7.3e-13,-2.2466e-09,4.1,0.5,,2.2875000000000002e-09,7.3e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2473000000000003e-09,-5.461000000000001e-11,-2.2494e-09,4.2,0.5,,2.2473000000000003e-09,5.461000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2104e-09,1.58e-12,-2.1582e-09,4.3,0.5,,2.2104e-09,1.58e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2588e-09,1.49e-12,-2.2276999999999997e-09,4.4,0.5,,2.2588e-09,1.49e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2254e-09,-5.484e-11,-2.2326e-09,4.5,0.5,,2.2254e-09,5.484e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.1865000000000003e-09,3.6000000000000003e-13,-2.1274000000000003e-09,4.6000000000000005,0.5,,2.1865000000000003e-09,3.6000000000000003e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2308e-09,5.6600000000000005e-12,-2.196e-09,4.7,0.5,,2.2308e-09,5.6600000000000005e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.1921e-09,-5.268000000000001e-11,-2.2029000000000003e-09,4.8,0.5,,2.1921e-09,5.268000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.1546e-09,-3.0000000000000003e-13,-2.1016e-09,4.9,0.5,,2.1546e-09,3.0000000000000003e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2064e-09,7.51e-12,-2.1732e-09,5.0,0.5,,2.2064e-09,7.51e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
-2.2958000000000003e-11,-4.742e-11,1.6490000000000006e-11,0.0,1.0,,2.2958000000000003e-11,4.742e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.1229400000000003e-08,-9.6e-13,-1.96234e-08,0.1,1.0,,2.1229400000000003e-08,9.6e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.27616e-08,-1.3400000000000001e-12,-2.2671200000000003e-08,0.2,1.0,,2.27616e-08,1.3400000000000001e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.2752200000000002e-08,1.9200000000000003e-12,-2.26918e-08,0.3,1.0,,2.2752200000000002e-08,1.9200000000000003e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.24286e-08,-2.0099999999999997e-12,-2.23352e-08,0.4,1.0,,2.24286e-08,2.0099999999999997e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.19868e-08,2.6100000000000004e-12,-2.1876599999999996e-08,0.5,1.0,,2.19868e-08,2.6100000000000004e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
